step_local,v_x,v_y,v_z,w_x,w_y,w_z,a_x,a_y,a_z,aw_x,aw_y,aw_z,is_inference_window
10,-0.024563288881516532,0.04903740796091535,-0.0027324226706585348,0.04116825653460322,0.04989157634556298,0.03349552578601715,-0.21492064280771958,0.8041695018155783,-0.008579952400529804,0.566457453167777,0.5627250094387248,0.3523895582511524,1
11,-0.02657970212191731,0.05657409051934894,-0.002795314882522738,0.04646681875876972,0.05477396361470148,0.03865921247103353,-0.20164132404007773,0.7536682558433587,-0.006289221186420342,0.5298562224166498,0.4882387269138498,0.5163686685016378,1
12,-0.027265511423391058,0.06333389537980245,-0.002122036973448481,0.05240360240972729,0.05822389574965958,0.04078982652046069,-0.06858093014737478,0.6759804860453515,0.06732779090742572,0.5936783650957567,0.3449932134958103,0.21306140494271597,1
13,-0.027995922565003183,0.069627003476062,-0.0016559193839497898,0.05592217936996637,0.06041813844742677,0.04540485717794201,-0.0730411141612125,0.6293108096259548,0.046611758949869124,0.3518576960239085,0.21942426977671903,0.4615030657481318,1
14,-0.028041743883685372,0.0744260225828503,-0.0018524980184903453,0.058413747302735894,0.0628736517944735,0.04670689996961202,-0.004582131868218972,0.4799019106788302,-0.01965786345405555,0.24915679327695214,0.2455513347046731,0.13020427916700106,1
15,-0.028110233302511778,0.0791808311360476,-0.00146151233159622,0.060232805228768324,0.0642644158294777,0.04967149110200271,-0.006848941882640555,0.4754808553197293,0.03909856868941253,0.18190579260324302,0.13907640350041967,0.2964591132390691,1
16,-0.02697577927433672,0.08289440513984345,-0.0011104448307973666,0.059994373357286676,0.0647686048389579,0.04907218800336578,0.11344540281750595,0.371357400379585,0.03510675007988534,-0.0238431871481648,0.05041890094801965,-0.05993030986369274,1
17,-0.026890936713669378,0.086407717567562,-0.0006461191790025362,0.06125990095499453,0.06561886029786539,0.052184769816369346,0.008484256066734058,0.35133124277185596,0.046432565179483035,0.1265527597707851,0.08502554589074895,0.3112581813003563,1
18,-0.025788397148029808,0.0892674691694659,0.00011802907135558399,0.06313788833658796,0.06697075920907714,0.050692395137509685,0.11025395656395695,0.28597516019038954,0.07641482503581201,0.1877987381593428,0.1351898911211749,-0.14923746788596606,1
19,-0.024296050602710867,0.09126062022900613,0.0003977505068955563,0.059387740313263396,0.06446678498115468,0.052089851521009825,0.14923465453189413,0.19931510595402324,0.027972143553997228,-0.37501480233245593,-0.2503974227922451,0.13974563835001397,1
20,-0.022302651113173477,0.09246192767405208,0.0015952197747002776,0.05832711811501856,0.061855339885609595,0.05226666163064251,0.19933994895373897,0.12013074450459432,0.11974692678047213,-0.10606221982448344,-0.26114450955450896,0.017681010963268434,1
21,-0.02040105518291026,0.09356897405558776,0.002508357992574617,0.05629811686268128,0.05893445353417581,0.05419470225506652,0.1901595930263216,0.11070463815356785,0.09131382178743391,-0.20290012523372786,-0.29208863514337824,0.19280406244240114,1
22,-0.018427766946462497,0.09408236185890781,0.0027120209811261078,0.05011284812450771,0.05511184991157484,0.055068022670166285,0.1973288236447764,0.05133878033200534,0.020366298855149095,-0.6185268738173572,-0.38226036226009713,0.0873320415099764,1
23,-0.01699262773495096,0.09390955823355303,0.0029301357253297927,0.04525865581943288,0.052201443935801416,0.05512951200212388,0.14351392115115358,-0.0172803625354781,0.021811474420368494,-0.48541923050748337,-0.2910405975773425,0.00614893319575982,1
24,-0.015116403592125138,0.09369610230960729,0.004013846521899654,0.044886445700529146,0.05070705175409301,0.05209733042079161,0.18762241428258233,-0.021345592394574064,0.10837107965698616,-0.03722101189037319,-0.14943921817084024,-0.30321815813322756,0
25,-0.013977391042519088,0.09394086922523646,0.0040257377848160565,0.04027415055630809,0.04868115013214863,0.051790839028575474,0.11390125496060499,0.024476691562917707,0.0011891262916402176,-0.4612295144221054,-0.20259016219443815,-0.03064913922161336,0
